Model,Metric,Value
Ridge,MAE,39521.508233028944
phi,MAE,101131.53228022509
GE,MAE,19880.68988597636
Ridge,MSE,1371068.2898483418
phi,MSE,7595094.272278164
GE,MSE,766058.3980720628
Ridge,RMSE,1170.9262529503478
phi,RMSE,2755.919859552916
GE,RMSE,875.2476210033723
Ridge,r,0.6984534085396872
phi,r,0.6446414399056435
GE,r,0.885141072091086
Ridge,R2,0.48783715563260155
phi,R2,-1.8371490424877086
GE,R2,0.7138387263325378
Ridge,PCC,0.4878371639007081
phi,PCC,0.4155625860436207
GE,PCC,0.7834747175025545
Ridge,r/s,13.668447369043587
phi,r/s,13.668447369043587
GE,r/s,101.80926586885288
Ridge,MAE,44757.62508918738
phi,MAE,97147.24428958635
GE,MAE,23016.791971595918
Ridge,MSE,1672385.4846395634
phi,MSE,7971951.747433879
GE,MSE,931398.7425884701
Ridge,RMSE,1293.2074406836527
phi,RMSE,2823.464493744145
GE,RMSE,965.0900178680071
Ridge,r,0.7186861824385065
phi,r,0.6749110542085759
GE,r,0.8782275017270067
Ridge,R2,0.5165098201239335
phi,R2,-1.30470810691161
GE,R2,0.7307306540707945
Ridge,PCC,0.516509828828034
phi,PCC,0.45550493109293094
GE,PCC,0.7712835447896585
Ridge,r/s,12.90710913228949
phi,r/s,12.90710913228949
GE,r/s,110.91174675807028
Ridge,MAE,32351.13731433363
phi,MAE,91000.67533089929
GE,MAE,18452.341684691757
Ridge,MSE,966120.9781022066
phi,MSE,5703581.98031807
GE,MSE,713425.6319060537
Ridge,RMSE,982.9145324504093
phi,RMSE,2388.217322673561
GE,RMSE,844.6452698654351
Ridge,r,0.6613458370880869
phi,r,0.6207628700196347
GE,r,0.8409618962624373
Ridge,R2,0.4373783087624158
phi,R2,-2.321487694203998
GE,R2,0.5845357417001392
Ridge,PCC,0.43737831623374374
phi,PCC,0.3853465407950143
GE,PCC,0.7072169109653156
Ridge,r/s,14.310506854969649
phi,r/s,14.310506854969649
GE,r/s,104.0540788139463
Ridge,MAE,31751.750396723633
phi,MAE,89075.65296390705
GE,MAE,18145.211209861598
Ridge,MSE,922380.6655709653
phi,MSE,5488101.907786984
GE,MSE,644556.9215415491
Ridge,RMSE,960.4065105833911
phi,RMSE,2342.669824748461
GE,RMSE,802.8430242217647
Ridge,r,0.6696223249074095
phi,r,0.6330322387815475
GE,r,0.8391970527414433
Ridge,R2,0.44839404890339185
phi,R2,-2.2820177021881323
GE,R2,0.6145393685993099
Ridge,PCC,0.4483940580144053
phi,PCC,0.40072981533677815
GE,PCC,0.7042516933299242
Ridge,r/s,13.242619984901655
phi,r/s,13.242619984901655
GE,r/s,90.82601580333083
Ridge,MAE,44139.020084507494
phi,MAE,90643.69238448667
GE,MAE,24124.42767538343
Ridge,MSE,1531876.0844459138
phi,MSE,7196065.030231089
GE,MSE,845185.7412968716
Ridge,RMSE,1237.6898175415008
phi,RMSE,2682.5482344649627
GE,RMSE,919.3398399378065
Ridge,r,0.7302627827868753
phi,r,0.6976531961403435
GE,r,0.8719198573889207
Ridge,R2,0.5332837237858372
phi,R2,-1.192423204726191
GE,R2,0.7424974866488552
Ridge,PCC,0.5332837319236307
phi,PCC,0.48671998208483613
GE,PCC,0.7602442377091159
Ridge,r/s,12.417866104712022
phi,r/s,12.417866104712022
GE,r/s,148.14941400361226
Ridge,MAE,33500.62677858888
phi,MAE,112206.61084770874
GE,MAE,15281.1510687069
Ridge,MSE,931828.3569420992
phi,MSE,7928785.054423251
GE,MSE,424334.8504804212
Ridge,RMSE,965.3125695556332
phi,RMSE,2815.809839890338
GE,RMSE,651.4098943679173
Ridge,r,0.7020479115236001
phi,r,0.6538260107570252
GE,r,0.8800139797303131
Ridge,R2,0.492871261928845
phi,R2,-3.315080914989796
GE,R2,0.7690643393275806
Ridge,PCC,0.49287127007464976
phi,PCC,0.42748845234244576
GE,PCC,0.7744246045207844
Ridge,r/s,14.304638672357497
phi,r/s,14.304638672357497
GE,r/s,93.5525433008714
Ridge,MAE,43420.23283695369
phi,MAE,117025.27142529418
GE,MAE,26670.19554624752
Ridge,MSE,1610841.4441611276
phi,MSE,9926530.584121158
GE,MSE,1135069.7368419224
Ridge,RMSE,1269.1892861827694
phi,RMSE,3150.6397103003
GE,RMSE,1065.3965162520115
Ridge,r,0.7179349498575025
phi,r,0.6699069374614488
GE,r,0.8490882894243437
Ridge,R2,0.51543058248733
phi,R2,-1.9860748619950468
GE,R2,0.658551073905271
Ridge,PCC,0.5154305922268958
phi,PCC,0.4487753048589781
GE,PCC,0.7209509232375593
Ridge,r/s,12.277066113169107
phi,r/s,12.277066113169107
GE,r/s,134.00514764929315
Ridge,MAE,36249.316861302366
phi,MAE,83270.61467798431
GE,MAE,15859.54557893714
Ridge,MSE,1118389.4807828388
phi,MSE,5482486.8135265475
GE,MSE,489465.1422919134
Ridge,RMSE,1057.5393518838146
phi,RMSE,2341.471078943011
GE,RMSE,699.6178544690762
Ridge,r,0.6963549089017054
phi,r,0.6647667447347249
GE,r,0.8907347493029689
Ridge,R2,0.4849101511529269
phi,R2,-1.5250356451035239
GE,R2,0.774570012959576
Ridge,PCC,0.484910159151503
phi,PCC,0.44191482490520195
GE,PCC,0.7934083936158245
Ridge,r/s,14.09182167738606
phi,r/s,14.09182167738606
GE,r/s,95.73497805598157
Ridge,MAE,30346.571849326057
phi,MAE,73144.81610953482
GE,MAE,17969.759437405333
Ridge,MSE,866411.3208234688
phi,MSE,4185078.197962862
GE,MSE,673069.7531820348
Ridge,RMSE,930.8121834309372
phi,RMSE,2045.7463669680224
GE,RMSE,820.4082844425907
Ridge,r,0.6852615411324104
phi,r,0.6240027700885268
GE,r,0.839335243526338
Ridge,R2,0.46958336935428635
phi,R2,-1.5621030374377924
GE,R2,0.5879469922749875
Ridge,PCC,0.46958337975516684
phi,PCC,0.3893794570781555
GE,PCC,0.7044836510254175
Ridge,r/s,13.86244969580013
phi,r/s,13.86244969580013
GE,r/s,114.4996439200072
Ridge,MAE,24809.036826070198
phi,MAE,65573.58555833518
GE,MAE,16640.746850656004
Ridge,MSE,723503.8016368907
phi,MSE,3203876.164942132
GE,MSE,938338.8512869995
Ridge,RMSE,850.5902666013118
phi,RMSE,1789.9374751488199
GE,RMSE,968.6789206372767
Ridge,r,0.6072804847284006
phi,r,0.5301084990852204
GE,r,0.7982854417533658
Ridge,R2,0.36878957846321714
phi,R2,-1.7951753951386915
GE,R2,0.18135984838626384
Ridge,PCC,0.368789587131961
phi,PCC,0.2810150208023856
GE,PCC,0.6372596465153666
Ridge,r/s,16.44851806524381
