Model,Metric,Value
ADD_L,MAE,35628.77423087918
ADD_GE,MAE,14181.747457153942
PW_L,MAE,34297.380249646245
PW_GE,MAE,11751.915435791014
ADD_L,MSE,2661957.831170016
ADD_GE,MSE,506803.502655282
PW_L,MSE,2562687.411721941
PW_GE,MSE,429909.7196888523
ADD_L,RMSE,1631.550744282879
ADD_GE,RMSE,711.9013292973135
PW_L,RMSE,1600.839595875221
PW_GE,RMSE,655.6750107247128
ADD_L,r,0.4501785950304454
ADD_GE,r,0.925773794159787
PW_L,r,0.6571935842034458
PW_GE,r,0.9398086491781588
ADD_L,PCC,0.20266076742358566
ADD_GE,PCC,0.8570571179530087
PW_L,PCC,0.43190340711817227
PW_GE,PCC,0.8832402970700736
ADD_L,MAE,34524.281716482976
ADD_GE,MAE,11423.377451059769
PW_L,MAE,30389.461770816724
PW_GE,MAE,8073.321313040597
ADD_L,MSE,2205353.963584088
ADD_GE,MSE,254045.4241577643
PW_L,MSE,1857088.4735568943
PW_GE,MSE,144663.91299816984
ADD_L,RMSE,1485.043421447362
ADD_GE,RMSE,504.0291897874212
PW_L,RMSE,1362.7503342714301
PW_GE,RMSE,380.34709542491555
ADD_L,r,0.596469300093707
ADD_GE,r,0.9316171384041849
PW_L,r,0.8217310685938345
PW_GE,r,0.9742712900771062
ADD_L,PCC,0.3557756259542759
ADD_GE,PCC,0.8679104925684022
PW_L,PCC,0.6752419490923648
PW_GE,PCC,0.9492045466685065
ADD_L,MAE,32846.11293422932
ADD_GE,MAE,7381.176775912849
PW_L,MAE,30847.445132002536
PW_GE,MAE,7122.151436591635
ADD_L,MSE,2395174.3077769787
ADD_GE,MSE,144916.30315832476
PW_L,MSE,2237599.0175566473
PW_GE,MSE,165776.69816731836
ADD_L,RMSE,1547.635069316077
ADD_GE,RMSE,380.67874009238386
PW_L,RMSE,1495.8606277179192
PW_GE,RMSE,407.1568471330408
ADD_L,r,0.5042236866077736
ADD_GE,r,0.966640038882363
PW_L,r,0.7624307565623532
PW_GE,r,0.9767105213463592
ADD_L,PCC,0.25424152613633416
ADD_GE,PCC,0.934392964770497
PW_L,PCC,0.5813006585522434
PW_GE,PCC,0.9539634425086769
ADD_L,MAE,37833.1885330823
ADD_GE,MAE,8709.412435531616
PW_L,MAE,34228.627903879904
PW_GE,MAE,8761.06772831508
ADD_L,MSE,2574918.240038434
ADD_GE,MSE,167134.76970893872
PW_L,MSE,2277412.201627609
PW_GE,MSE,170339.66281151227
ADD_L,RMSE,1604.6551779240406
ADD_GE,RMSE,408.8211952784967
PW_L,RMSE,1509.1097380997874
PW_GE,RMSE,412.722258681928
ADD_L,r,0.5572318043671429
